Latitude,Longitude,Elevation
38.99346000,-77.2544500,58.0
38.99345000,-77.2544500,58.0
38.99347000,-77.2540500,55.0
38.99328000,-77.2540800,56.0
38.99326000,-77.2538700,56.0
38.99325000,-77.2539800,56.0
38.99324000,-77.2538100,56.0
38.99321000,-77.2535400,56.0
38.99318000,-77.2533600,56.0
38.99317000,-77.2532900,55.0
38.99319000,-77.2531900,55.0
38.99319000,-77.2530100,54.0
38.99323000,-77.2529200,53.0
38.99335000,-77.2526900,52.0
38.99361000,-77.2521500,53.0
38.99364000,-77.2521200,53.0
38.99379000,-77.2522400,51.0
38.99375000,-77.2520700,52.0
38.99373000,-77.2518500,53.0
38.99374000,-77.2515300,51.0
38.99369000,-77.2512900,49.0
38.99366000,-77.2511400,48.0
38.99365000,-77.2509400,46.0
38.99356000,-77.2506700,44.0
38.99342000,-77.2504600,43.0
38.99335000,-77.2501600,41.0
38.99320000,-77.2499100,40.0
38.99315000,-77.2497100,38.0
38.99312000,-77.2495600,37.0
38.99292000,-77.2494700,38.0
38.99272000,-77.2493800,39.0
38.99262000,-77.2491900,37.0
38.99249000,-77.2490300,37.0
38.99232000,-77.2489900,38.0
38.99211000,-77.2489500,37.0
38.99200000,-77.2489900,38.0
38.99192000,-77.2492400,41.0
38.99177000,-77.2492800,42.0
38.99164000,-77.2491800,43.0
38.99158000,-77.2489600,42.0
38.99154000,-77.2488200,41.0
38.99147000,-77.2487500,40.0
38.99128000,-77.2487700,44.0
38.99111000,-77.2488700,47.0
38.99099000,-77.2488200,46.0
38.99091000,-77.2486800,44.0
38.99073000,-77.2485900,42.0
38.99062000,-77.2485300,41.0
38.99049000,-77.2484700,41.0
38.99035000,-77.2484600,43.0
38.99019000,-77.2484400,44.0
38.99001000,-77.2484000,44.0
38.98988000,-77.2483800,44.0
38.98977000,-77.2483000,43.0
38.98969000,-77.2482600,42.0
38.98965000,-77.2483100,44.0
38.98961000,-77.2483900,46.0
38.98958000,-77.2485100,48.0
38.98950000,-77.2486500,51.0
38.98939000,-77.2486200,51.0
38.98930000,-77.2485300,51.0
38.98920000,-77.2484400,50.0
38.98898000,-77.2483300,50.0
38.98873000,-77.2482600,51.0
38.98864000,-77.2482200,51.0
38.98860000,-77.2481100,49.0
38.98856000,-77.2478500,44.0
38.98849000,-77.2477600,43.0
38.98841000,-77.2477900,45.0
38.98831000,-77.2478800,50.0
38.98818000,-77.2479800,56.0
38.98805000,-77.2478700,57.0
38.98794000,-77.2476700,51.0
38.98787000,-77.2474300,42.0
38.98777000,-77.2473700,42.0
38.98757000,-77.2473000,44.0
38.98749000,-77.2472100,43.0
38.98721000,-77.2471300,43.0
38.98690000,-77.2470000,42.0
38.98657000,-77.2468400,41.0
38.98625000,-77.2467200,41.0
38.98593000,-77.2465400,41.0
38.98570000,-77.2464500,41.0
38.98549000,-77.2462500,39.0
38.98525000,-77.2462200,39.0
38.98498000,-77.2461200,41.0
38.98463000,-77.2459200,35.0
38.98445000,-77.2458700,33.0
38.98431000,-77.2458400,37.0
38.98425000,-77.2458400,40.0
38.98421000,-77.2458700,42.0
38.98406000,-77.2458900,45.0
38.98387000,-77.2458900,47.0
38.98372000,-77.2458400,48.0
38.98353000,-77.2458000,48.0
38.98336000,-77.2456900,46.0
38.98323000,-77.2456400,46.0
38.98304000,-77.2456200,47.0
38.98289000,-77.2455300,46.0
38.98265000,-77.2454800,48.0
38.98239000,-77.2454200,53.0
38.98218000,-77.2451500,52.0
38.98198000,-77.2447900,52.0
38.98184000,-77.2445800,55.0
38.98171000,-77.2442600,57.0
38.98166000,-77.2438100,58.0
38.98165000,-77.2434000,59.0
38.98171000,-77.2431300,57.0
38.98162000,-77.2429800,67.0
38.98160000,-77.2427700,70.0
38.98152000,-77.2426300,76.0
38.98143000,-77.2424600,81.0
38.98131000,-77.2424300,85.0
38.98118000,-77.2424200,89.0
38.98110000,-77.2425000,91.0
38.98098000,-77.2425500,92.0
38.98085000,-77.2425500,93.0
38.98078000,-77.2425900,93.0
38.98069000,-77.2422900,94.0
38.98061000,-77.2422000,95.0
38.98051000,-77.2421300,95.0
38.98021000,-77.2419700,94.0
38.98000000,-77.2419700,93.0
38.97974000,-77.2419900,91.0
38.97967000,-77.2419700,91.0
